company_name,company_number
CORAL (STOKE) LIMITED,1225994
FORTH SOCIAL & LEISURE CLUB LIMITED,SC103019
DOGS TRUST LOTTERIES LIMITED,14015851
EQUINE INVESTMENTS LIMITED,5605699
PLAYQUARRY LIMITED,15972306
POSTCODE ANIMAL TRUST,SC443944
POSTCODE COMMUNITY TRUST,SC472798
GRANDSPAN LIMITED,3695907
FAIRMILE INVESTMENTS LIMITED,1568205
PEOPLE'S POSTCODE TRUST,SC356549
JA SPORTSBOOK LIMITED,8713946
SCOTSCOUP (ELGIN) LIMITED,SC105412
ROBIN GROSSMITH RACING LIMITED,1966285
EPANGA MEDIA LIMITED,9917818
VBET SPORTS LIMITED,10392319
INVESTING IN PEMBROKESHIRE SOCIETY LIMITED,3494193
LUXURYFUTURE LIMITED,3040254
POSTCODE GREEN TRUST,SC404041
NG RACING LIMITED,12113783
GAMBLE GOOSE LTD,15005843
OTB BETTING LTD,15027973
FFG LIMITED,15860762
BILLION INTERNET TECHNOLOGY CO LTD,15321569
THE BENEFICIAL RAFFLE LTD,15863234
J.P. CLUBS LTD.,6337764
CEASARS ENTERTAINMENT LTD,14481347
BETTING JUNCTION LIMITED,6740540
THE SPORTING EXCHANGE LIMITED,3770548
SILVERPLAY LIMITED,8155054
WHARTON SLANEY LIMITED,3637944
SPERRIN BINGO LTD,NI617482
ASN7 LIMITED,15895553
RED DOG LEISURE LIMITED,15062901
FIRST PRIZE GAMES LIMITED,3237303
YORKSHIRE AIR AMBULANCE (TRADING) LIMITED,4053514
K.JOHNSON LIMITED,3676630
CELTIC F.C. DEVELOPMENT FUND LIMITED,SC045637
CELTIC DEVELOPMENT POOLS LIMITED,SC045636
HOMESTYLE COMPS LTD,15001224
WESTERN LEISURE AND AMUSEMENTS LIMITED,3381549
ENFOUR LIMITED,1277978
RC AMUSEMENTS LIMITED,9493651
PLAINSCOOP LIMITED,4370665
JENNINGS (SL) LIMITED,7713744
SAGENCY LIMITED,10373256
HEALTH LOTTERY ELM LIMITED,7127308
SURFLIFECOMPS LTD,14948947
REV CORP LTD,11981806
MCCARTANBET LTD,13467152
PORTO ENTERPRISES LTD,15821492
MEGA LEISURE (SCOTLAND) LIMITED,SC207968
REGAL BINGO LTD,NI649754
BUZZ COUNTY CLUBS LIMITED,SC041681
ONLY TIPS LIMITED,14392642
SCOTB123 LTD,SC619172
PDSA TRADING LIMITED,1595637
BULLION STREET ONLINE GAMING LIMITED,15044366
JOHN SMYTH BOOKMAKERS LIMITED,NI720042
